name,url,tier,region,media_type,description,why
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,national,us,news,Major nonprofit newspaper covering national and international news with investigative reporting,Largest circulation US newspaper; shapes mainstream narrative across political spectrum
Washington Post,https://feeds.washingtonpost.com/rss/world,national,us,news,Major national newspaper covering politics, government, and national affairs,Second-largest circulation US newspaper; significant influence on American news agenda
AP News,https://feedx.net/rss/ap.xml,national,us,news,Cooperative of American newspapers and broadcasters providing wire service reporting,Most widely distributed news source in US; supplies content to majority of local newsrooms
Reuters,https://news.google.com/rss/search?q=site:reuters.com+when:3d&hl=en-US&gl=US&ceid=US:en,national,us,news,International news organization with factual reporting on global and US events,Major wire service trusted by institutional investors and news organizations worldwide
NPR,https://feeds.npr.org/1001/rss.xml,national,us,news,Public radio news organization providing reporting on national and international stories,Reaches millions of Americans; represents public media perspective on news
CNN,http://rss.cnn.com/rss/edition.rss,national,us,news,Cable television network providing national and international news coverage,Largest cable news network by viewership; significant influence on news cycle
Wall Street Journal,https://feeds.content.dowjones.com/public/rss/RSSWorldNews,national,us,news,National newspaper with focus on business, politics, and financial markets,Second-largest US newspaper circulation; represents business and investor perspective
Bloomberg,https://feeds.bloomberg.com/markets/news.rss,national,us,news,Financial and business news organization covering markets, companies, and economic policy,Dominant source for financial professionals and business decision-makers
Politico,https://rss.politico.com/politics-news.xml,national,us,news,Political news outlet covering Congress, campaigns, and policy,Primary outlet for political insiders and policymakers; shapes conversation about politics
The Atlantic,https://www.theatlantic.com/feed/all/,national,us,news,Longform magazine covering politics, culture, science, and ideas,Influential voice in national conversation; known for deep analysis and cultural commentary
Fox News,https://feeds.foxnews.com/foxnews/latest,national,us,news,Conservative cable television network providing news and opinion programming,Largest cable news network by viewership; represents significant portion of American news consumption
NBC News,https://feeds.nbcnews.com/nbcnews/public/news,national,us,news,Major broadcast television network providing national and international news,Large audience reach through broadcast television; major national newsgathering organization
ABC News,https://feeds.abcnews.com/abcnews/topstories,national,us,news,Major broadcast television network providing national news coverage,Large audience reach through broadcast television; major national newsgathering organization
The Hill,https://thehill.com/feed/,national,us,news,Political news outlet covering Congress and policy developments,Widely read by political professionals and Capitol Hill staff
CNBC,https://www.cnbc.com/id/100003114/device/rss/rss.html,national,us,news,Business television network covering financial markets and business news,Primary source for business professionals and market participants
Business Insider,https://www.businessinsider.com/rss,national,us,news,Business and technology news outlet serving corporate and startup audiences,Widely read by business professionals and entrepreneurs
National Review,https://www.nationalreview.com/feed/,national,us,news,Conservative magazine publishing news and opinion,Leading conservative opinion publication; represents right-of-center intellectual tradition
Washington Examiner,https://www.washingtonexaminer.com/feed,national,us,news,Conservative daily news and opinion outlet covering politics and policy,Major conservative news outlet; represents right-of-center political perspective
Washington Times,https://www.washingtontimes.com/rss/headlines/news/,national,us,news,Conservative daily newspaper covering national and international news,Conservative daily newspaper; alternative perspective to mainstream outlets
Daily Wire,https://www.dailywire.com/feeds/rss.xml,national,us,news,Conservative media company producing news and opinion content,Influential in conservative media ecosystem; represents populist conservative perspective
The Dispatch,https://thedispatch.com/feed/,national,us,news,Conservative publication founded by National Review alumni focusing on news and analysis,Represents traditional conservative intellectual perspective
Reason,https://reason.com/feed/,national,us,news,Libertarian magazine publishing news and opinion,Leading libertarian publication; represents free-market conservative perspective
RealClearPolitics,https://feeds.feedburner.com/realclearpolitics/qlMj,national,us,news,Political news aggregation site curating multiple sources,Influential in political community for compiling diverse political perspectives
The Federalist,https://thefederalist.com/feed/,national,us,news,Conservative opinion and news publication,Influential in conservative media; represents populist and traditionalist conservative views
BBC World,https://feeds.bbci.co.uk/news/world/rss.xml,international,uk,news,Public broadcaster providing international news coverage,Major international news organization; represents perspective outside US media
The Guardian World,https://www.theguardian.com/world/rss,international,uk,news,British newspaper with international news coverage and investigative reporting,Major international newspaper with global influence; represents British progressive perspective
Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml,international,qatar,news,International news network covering Middle East and global stories,Significant coverage of global events underreported in US; represents perspective outside Western media
Deutsche Welle,https://rss.dw.com/rdf/rss-en-all,international,germany,news,German public broadcaster providing international news,German state media perspective on global events
